"Num","Nombre","Alias","es_transacción","modelo_imco"
1," Contratos Ctas Ahorro           ","cuentas_ahorro","FALSE","FALSE"
2," Ctas Transac TOTAL","cuentas_transaccionales","FALSE","FALSE"
3," Ctas Transac NOMINA             ","cuentas_nomina","FALSE","FALSE"
4," Ctas Transac Mercado Abierto","cuentas_mercadoAbierto","FALSE","FALSE"
5," Contratos Ctas Transac Nivel 1  ","cuentas_bajoRiesgo1","FALSE","FALSE"
6," Num de Transac en TPV","transacciones_tpv","TRUE","FALSE"
7," Contratos Ctas Transac Trad     ","cuentas_tradicionales","FALSE","FALSE"
8," Num de Sucursales","sucursales","FALSE","FALSE"
9," Num de Contratos de TC          ","tarjetasCrédito","FALSE","FALSE"
10," Num de Cajeros Automaticos ","n_atm","FALSE",TRUE
11," Num de TPV                      ","tpv","FALSE","FALSE"
12," Num de Transac en Cajeros Aut","transacciones_atm","TRUE","TRUE"
13," Num de Est con TPV              ","establecimientos_tpv","FALSE","FALSE"
14," Num de Contratos con TD ","cuentas_tarjetaDebito","FALSE","FALSE"
15," Num de Pers Cont por la Inst    ","empleados_porInstitución","FALSE","FALSE"
16," Num de Pers Cont por Terceros","empleados_porTerceros","FALSE","FALSE"
17," Contratos Ctas Transac Nivel 3  ","cuentas_bajoRiesgo3","FALSE","FALSE"
18," Num de Cont que afectan por cel","cuentas_porCelular","FALSE","FALSE"
19," Contratos Ctas Transac Nivel 2  ","cuentas_bajoRiesgo2","FALSE","FALSE"
20," Contratos Reactivada Cta Global","cuentas_reactivadaGlobal","FALSE","FALSE"
21," Contratos Prescriben Cta Global ","cuentas_prescritaGlobal","FALSE","FALSE"
22," Contratos Inc Cuenta Global ","cuentas_incorporadasGlobal","FALSE","FALSE"
23," Contratos Cuenta Global         ","cuentas_global","FALSE","FALSE"
24," Contratos Ctas de Dep a Plazo","cuentas_depositos","FALSE","FALSE"
25," Contatos Saldos a Favor TDC","cuentas_tarjetaCrédito","FALSE","FALSE"
